problem,problemimage,tools,solString,answer,gbd,drawing_image_name,user_id,problem_id,_id,correct_answer,stroke_count,created_at,label
"""Rita en rektangel som är $2$ cm bred och $5$ cm lång. Vad är omkretsen för denna?""",,"{""total"":4,""triangleright"":1,""element"":3}","""5\n2\n5""","[""14cm""]",0.0,2412f880-0ec3-11f0-a5ae-cf0b4b629d2d.jpg,66ba92257764376addc656ba,631b214a32445b0014edc418,67eb889505040ac105463f60,"[""14cm""]",4,2025-04-01 6:32:54,1.0
"""Hur många gånger större är talet som är dubbelt så stort som 54,6 jämfört med det talet som är hälften så stort som 54,6?""",,"{""total"":76,""free"":6,""circle"":1,""rectangle"":1,""element"":68}","""578y785t985yiuhng7y4t78wy3ougo-idbdjbvhdjjh%+hbfekjghbeugbue=iuiehghy""","[""4""]",0.0,6df25000-a02b-11f0-9b9f-93bc6f458e95.jpg,68b6ddc99ef376ef99305b36,65574039d6cc4a38bfea9e25,68df7c93283430c269799ae6,"[""4""]",76,2025-10-03 7:34:44,0.0
"""Barnen ska få en fjärdedel var av ett äpple. Till hur många barn räcker två äpplen?\n\n*Visa hur du löser uppgiften och skriv svar.*""",,"{""total"":31,""element"":12,""circledfraction"":18,""free"":1}","""2\näpllen\n8\nbarn""","[""8""]",0.0,2432be40-2016-11f0-96d8-d5e09633733d.jpg,6401add35971ff001fe3b7e7,637762560d712800137aac7b,680899479f392fb075e7fb72,"[""8""]",31,2025-04-23 7:39:52,1.0
"""Visa hur du löser uppgiften.\n\n${\\Large \\frac{1}{4}} + {\\Large \\frac{2}{4}} =$""",,"{""total"":10,""element"":7,""line"":3}","""1+2=334""","[""[3/4]""]",0.0,e79f9530-8edc-11f0-a95f-6f34a72aa14b.jpg,66c3d7d5e593c070de2e0519,63eb511a8e78a2001308c47e,68c27364523c88da7972dab4,"[""[3/4]""]",10,2025-09-11 6:59:48,1.0
"""Visa hur du löser uppgiften.\n\n${\\Large \\frac{1}{4}} + {\\Large \\frac{2}{4}} =$""",,"{""total"":3,""element"":2,""line"":1}","""""","[""[3/4]""]",0.0,b46fde70-9d20-11f0-acc8-c3cf26f4885c.jpg,63044b1313c31e001fb1bdfb,63eb511a8e78a2001308c47e,68da621823494a0fc2643efd,"[""[3/4]""]",3,2025-09-29 10:40:24,0.0
"""Simone har ett rep som är $660$ cm. Hon ska klippa det i lika långa bitar. \n\nHur lång blir varje bit om hon gör två klipp?""",,"{""total"":9,""element"":8,""line"":1}","""6603\n=220""","[""220""]",0.0,231cca50-8e07-11f0-93c3-6d27d23941f6.jpg,66be7f12199ed70e52f5c152,632c25893caf5e00143b0f6b,68c10cbf523c88da7948c201,"[""220cm""]",9,2025-09-10 5:29:35,1.0
"""En triangel har en area som är 1 kvadratmeter och en bas som är 0,25 meter. Vad är triangelns höjd?""",,"{""total"":24,""trianglesymmetricvertical"":1,""free"":14,""element"":8,""rectangle"":1}","""1\nx=2/0,25""","[""8""]",0.0,08598ff0-1d28-11f0-b869-d10370f94813.jpg,652cdb34912d36363492623b,65607ac4521142e51e574c95,6803aeceec33bb47d45c0c3d,"[""8m""]",24,2025-04-19 14:10:23,1.0
"""Visa hur du löser uppgiften.\n\n$164-46=$""",,"{""total"":13,""element"":10,""free"":1,""line"":2}","""1164-46=118""","[""118""]",0.0,94e227f0-9471-11f0-8836-9d7b4c6a2fc6.jpg,66bd2f17e9b798aafc69ae57,64d32982dce3104a2ad792f3,68cbd04f51dbe21660c41524,"[""118""]",13,2025-09-18 9:26:40,1.0
"""Anna och hennes två syskon får 936 kr som de ska dela lika på. Hur mycket pengar får Anna?""",images/14581bb4-4b60-47c7-b3a8-52e2a5e25df3.png,"{""total"":10,""element"":8,""line"":2}","""9363\n=312""","[""312""]",0.0,22bf9b40-9aa1-11f0-b195-c96c11591149.jpg,68ad9512d8c83471353da1c8,654a0e94bd043ff860bf614e,68d63113e9ef8b7a2bd46854,"[""312kr""]",10,2025-09-26 6:22:11,1.0
"""Kim löser 72 matteproblem under 9 dagar. Han löser samma antal uppgifter varje dag. \n\nHur många problem löser Kim varje dag?""",images/efa12679-6a86-4314-92f9-0dacbd46776d.png,"{""total"":7,""element"":2,""line"":1,""free"":4}","""q=8""","[""8""]",0.0,be7030b0-9d0b-11f0-a3a6-0d49945bebfd.jpg,62f35fbc6376c9001fa1ed78,655743a2df39eeec176c9ec4,68da3eed0daed6849a63db44,"[""8""]",7,2025-09-29 8:10:22,1.0
"""Nadja har bara $275$ m till skolan. \n\nHennes bror Gustav har tio gånger så långt till sin skola. \n\nHur mycket längre skolväg har Gustav?""",,"{""total"":18,""free"":2,""rectangle"":1,""element"":15}","""112750_275=2475""","[""2475""]",0.0,be3ff250-93de-11f0-9a58-a7d07bc54a53.jpg,64424758d1e72e001f97805a,68b94cdd8fb0b72496c2315b,68cad9f53336e3ae0811332d,"[""2475m""]",18,2025-09-17 15:55:34,1.0
"""Skriv det binära talet $1101$ i tiosystemet.""",,"{""total"":29,""placevaluechart"":0,""line"":0,""element"":29}","""1101=1'8+1'4+0'2+1'1=\n8+4+1=13""","[""13""]",0.0,db142c40-93c8-11f0-8836-9d7b4c6a2fc6.jpg,66b7289166298c87182540d5,632c2f46a9fe370013b6850f,68cab53c932293f7f826a9a5,"[""13""]",29,2025-09-17 13:18:53,1.0
"""Ett paket innehåller 24 stycken munkar.\n\n8 vänner ska dela på munkarna. Hur många får var och en?""",images/88423bfa-bd99-4b0d-a5a0-36b65ab63340.png,"{""total"":52,""free"":42,""element"":10,""circle"":0}","""3\n333333333""","[""3""]",0.0,e23cf4d0-183e-11f0-841b-c57c865ae948.jpg,66b4d8503384e828be2e2469,6581aad1a5585b513775068e,67fb71a9bb9acf7610e1962b,"[""3""]",52,2025-04-13 8:11:21,1.0
"""The side length of an equilateral triangle is 4 feet. What is the perimeter?""",,"{""total"":31,""element"":12,""trianglesymmetricvertical"":2,""free"":17}","""p=3sx4\np=12ft""","[""12ft""]",0.0,3fe7ef40-0025-11f0-a1ac-250ef625834a.jpg,66c3ce5fe593c070de2b8156,6167e4a9002db40019567f6b,67d302bbb46f4159d021abba,"[""12ft""]",31,2025-03-13 16:07:24,1.0
"""Hur mycket behöver adderas till 47,8 för att få 72,24?""",,"{""total"":16,""element"":13,""line"":2,""free"":1}","""72,2447,8=24,44""","[""24,44""]",0.0,15bb1740-9d07-11f0-98f5-63236175eec6.jpg,66ba95aec3fb583d2816e925,615ee775287b240013163750,68da371ccf882b9e60ab272e,"[""24,44""]",16,2025-09-29 7:37:00,1.0
"""I en bandyturnering startar sexton lag. Det är en utslagstävling där det segrande laget från varje match går vidare. Hur många matcher måste spelas innan ett lag står som slutsegrare?""",,"{""total"":25,""free"":4,""element"":1,""text"":0,""trianglesymmetricvertical"":1,""triangleright"":1,""line"":18}","""""","[""15""]",0.0,1bf1f300-157a-11f0-8166-5fd8a4033f5c.jpg,651522c359711c3d49f85676,632ed997b831fb0013255113,67f6cc89fda8db05209941e7,"[""15""]",25,2025-04-09 19:37:45,0.0
"""Pantea kastar sex pilar mot en tavla. Resultatet blir: $8$, $4$, $5$, $3$, $10$ och $6$. \n\nBeräkna medelvärdet.""",,"{""total"":7,""element"":4,""line"":3}","""366\n6""","[""6""]",0.0,ec745e70-21b2-11f0-8787-f7e42e8396aa.jpg,64f04a75e5cb331e3aa5edc3,63344a3adb84810014f00ad5,680b4dd03e204c268ee27592,"[""6""]",7,2025-04-25 8:54:40,1.0
"""Beräkna. \n\n$0{,}007 \\cdot 2 \\ 000 = $""",,"{""total"":16,""element"":13,""line"":2,""free"":1}","""20000,007=14,000""","[""14""]",0.0,6edfccd0-0897-11f0-bb2a-e129d8e6af14.jpg,66b73b8b66298c871826adb6,6557418d181670cb1ac31033,67e12e46128e0f4fa9dedbaf,"[""14""]",16,2025-03-24 10:04:54,1.0
"""Anders bjuder en kompis på tårta. Anders äter $\\Large\\frac{1}{6}$ och kompisen äter $\\Large\\frac{2}{6}$ av tårtan. Hur mycket har de ätit tillsammans?""",images/d8fd989a-d601-4dcd-b29e-9eeb761b4d5a.png,"{""total"":21,""element"":3,""circledfraction"":18}","""-\n-\n=""","[""[3/6]""]",0.0,198c1630-4122-11f0-b7d0-2b2944f9afb7.jpg,66ea9d5265e976fd8c12a347,604e579f38263cc3ad30d3ad,68400abcfdc7ee63df8f4eaa,"[""[3/6]""]",21,2025-06-04 8:58:37,1.0
"""Beräkna.\n\n$82 - 47 =$""",,"{""total"":11,""element"":7,""line"":1,""free"":3}","""82-47=35""","[""35""]",0.0,6ce214d0-f8f0-11ef-b999-29a34aa9ba23.jpg,66ba2d132b1c87684210cb30,5e57fa4395d5f1635e035ea2,67c6eba165d0ba8873c22b7f,"[""35""]",11,2025-03-04 12:01:38,1.0
"""Beräkna.\n\n $41 - 12=$""",images/214f195a-ad6d-4495-9c48-b0e94e211746.png,"{""total"":16,""image"":1,""line"":5,""free"":8,""element"":2}","""\\ldots \\zeta _{j}""","[""29""]",0.0,b8fa8960-0a25-11f0-bd52-3b2b74cffd72.jpg,65264451d710e54cc94e2e0f,6582d3ec987165ee52a353b5,67e3ca7e0d324051c3729367,"[""29""]",16,2025-03-26 9:35:58,1.0
"""Hur lång tid är det mellan klockslagen?\n\n13.25 – 16.50""",,"{""total"":43,""line"":7,""element"":36}","""13.2516.50hmin1325-143514-16=16-1650\n2\n50""","[""3 h 25 min""]",0.0,0595b400-1ac2-11f0-841b-c57c865ae948.jpg,64f5b388f10a0c10df795c88,6321f2ed78c3810013be8669,67ffa8aa7b90c0e5dcb3320b,"[""3 h 25 min""]",43,2025-04-16 12:55:07,1.0
"""Vilket tal är minst?\n\n${\\Large\\frac{3}{6}} \\hspace{0.5cm} {\\Large\\frac{3}{7}}  \\hspace{0.5cm} {\\Large\\frac{3}{8}}  \\hspace{0.5cm} {\\Large\\frac{3}{9}}$""",,"{""total"":24,""circledfraction"":16,""element"":8}","""36\n37\n38\n39""","[""${\\Large\\frac{3}{9}}$""]",0.0,8e50b5a0-16ae-11f0-8166-5fd8a4033f5c.jpg,65ba69e5b32171576deade53,64d329da14379d0c8cbee954,67f8d205bfe87f07ff378243,"[""${\\Large\\frac{3}{9}}$""]",24,2025-04-11 8:25:42,1.0
"""Visa hur du löser uppgiften.\n\n$541 - 174 = $""",,"{""total"":18,""element"":14,""line"":4}","""0011541-174=367""","[""367""]",0.0,799e0660-896f-11f0-a3c7-715f83e311f1.jpg,66cc695803f44fced5afb3d2,63ee6212f972830013634b6f,68b9585009d8d05dc908131f,"[""367""]",18,2025-09-04 9:13:53,1.0
"""$3\\ 628 + 796=$""",,"{""total"":25,""element"":24,""line"":1}","""1113628796424+4\nSVAR:4424""","[""4424""]",0.0,d8b61bf0-2b65-11f0-a602-690639169a53.jpg,64d377e832ca7a9556303ee8,63208c4847e61c0013b82a28,681b9378b2e37ea2133b0ab6,"[""4424""]",25,2025-05-07 17:08:09,1.0
"""Bilden visar en tårta som är delad i lika stora delar. Två personer har tagit varsin bit. \n\nHur stor andel av tårtan finns kvar?""",images/15853bdd-6c0b-4708-90bb-9d7438bc96d2.png,"{""total"":3,""element"":2,""line"":1}","""""","[""[4/6]""]",0.0,e51b9450-3485-11f0-a9ce-77c1d510a23a.jpg,66ba2d112b1c87684210ca94,61c992346ee51e0018312946,682ae2b4e67ed1d5466f64dc,"[""[4/6]""]",3,2025-05-19 7:50:13,0.0
"""Lava, Maggie och Algebrasa delar lika på 12 godisbitar.  \n\nHur många godisbitar får var och en?""",images/e231860a-25dc-4907-aad4-2e1c02c32c40.png,"{""total"":18,""element"":4,""line"":13,""free"":1}","""12\n12""","[""4""]",0.0,07d294a0-87ef-11f0-89b6-918b87ba875a.jpg,64f975b52144e6c361379b62,67e3b10d2a4b6201610ff54b,68b6d352ae4091b8970511c3,"[""4""]",18,2025-09-02 11:21:55,0.0
"""Vad är cirkelns omkrets? Använd $\\pi \\approx 3{,}14$.""",images/c8ffff88-db1f-47db-8dbd-b65dd1373ba8.png,"{""total"":25,""element"":24,""line"":1}","""4×2=8\n133,14×__8=25,12\n25,12cm""","[""25,12cm""]",0.0,f79b1ff0-21f8-11f0-9bf8-ede6d540e247.jpg,6500723bf5bc5858266c501e,65607b12f1560ac3b885991c,680bc353f10ca77da03a62e5,"[""25,12cm""]",25,2025-04-25 17:16:04,1.0
"""${\\Large\\frac{5}{6}}/ {\\Large\\frac{3}{4}}=$""",,"{""total"":23,""element"":18,""line"":5}","""5/3=10/9641212\n=10\n9""","[""[[10]/9]""]",0.0,6c566870-0329-11f0-aa6a-371f0b42f429.jpg,65f8592c20f423589516e288,636022fa427c0a0014602731,67d81239f0e3c4b4cffb0ad5,"[""[[10]/9]""]",23,2025-03-17 12:14:50,1.0
"""Beräkna.\n\n$56{,}45-34{,}9=$""",,"{""total"":17,""line"":2,""element"":12,""free"":3}","""56,45-34,9=21,55""","[""21,55""]",0.0,d8826d20-9df5-11f0-9590-f1d7e0d4ab1b.jpg,677f95d0906295a985ac0c18,668be4bf934009ce00a0bd3d,68dbc7afaad09f7b0f977d48,"[""21,55""]",17,2025-09-30 12:06:07,1.0
"""Beräkna arean av triangeln med basen $4$ cm och höjden $3$ cm.""",images/255c412d-a900-4ebc-baed-6a319b8d17d3.png,"{""total"":12,""element"":5,""free"":5,""line"":2}","""43=12""","[""6""]",0.0,889f5d80-29cf-11f0-b598-3fba009f09bc.jpg,66c8501dd08168da99cb4250,6337ebda26e86a00143f202f,6818e9c95224e7109cc0f822,"[""6cm^[2]""]",12,2025-05-05 16:39:38,1.0
"""Visa hur du löser uppgiften.\n\n$4 \\cdot 19= $""",,"{""total"":106,""element"":7,""circle"":10,""free"":89}","""4*19=76""","[""76""]",0.0,7e15ce10-f4de-11ef-9153-535648b1528e.jpg,6318b1ed510cb4001ff64138,64d3299514379d0c8cbee560,67c0178e1f9278b8142600d3,"[""76""]",106,2025-02-27 7:43:11,0.0
"""Vilket bråk är minst?\n\n${\\Large\\frac{5}{4}}$ eller ${\\Large\\frac{6}{7}}$""",,"{""total"":6,""line"":2,""element"":4}","""54\n67""","[""${\\Large\\frac{6}{7}}$""]",0.0,2b307010-3ba6-11f0-ae1d-ffc1529ce7d5.jpg,679c86da768cb3768b6da6c0,638f53e6bbdc740013f61f80,6836d754535f115dcfdada45,"[""${\\Large\\frac{6}{7}}$""]",6,2025-05-28 9:28:53,1.0
"""Visa hur du löser uppgiften.\n\n$4 \\cdot 19= $""",,"{""total"":10,""element"":4,""line"":2,""free"":4}","""19.4""","[""76""]",0.0,b7da3960-3624-11f0-92d2-8145c5fe27c1.jpg,66bd2bfb2bc05cd48fd9dd3e,64d3299514379d0c8cbee560,682d9aaaf910481318b3bac5,"[""76""]",10,2025-05-21 9:19:38,1.0
"""Hur lång är sidan i en kvadrat om dess omkrets är 24 dm?""",,"{""total"":12,""element"":10,""free"":1,""rectangle"":1}","""244=6dm6=dm""","[""6dm""]",0.0,d7f93460-1065-11f0-b495-7b0142a54905.jpg,636e13b4f4e4610020338b7e,65299cc0c8105094a54efaaf,67ee470d169e78d7c44a6438,"[""6dm""]",12,2025-04-03 8:30:05,1.0
"""Beräkna.\n\n$6\\ 672+148=$""",,"{""total"":16,""element"":13,""line"":3}","""6672148=6820""","[""6820""]",0.0,ad0f69f0-8503-11f0-a8ca-63e05bdd3e2a.jpg,66b4320ce41b54b005f73c16,654a0d5af6cc352c2c9790f5,68b1ed78e803c791af9a0ce9,"[""6820""]",16,2025-08-29 18:12:08,1.0
"""Hur många veckor är ett år?""",,"{""total"":9,""line"":3,""element"":6}","""3657\n52""","[""52""]",0.0,b76cd430-138b-11f0-9648-6313d0298f96.jpg,66d8509fd2be8307595c3792,6682ad6601864247d7306b5f,67f38f146ef92aea7146e764,"[""52""]",9,2025-04-07 8:38:45,1.0
"""Hur bred är kaninen?""",,"{""total"":5,""rectangle"":1,""element"":4}","""15\ncm""","[""15cm""]",0.0,21a2fd30-1124-11f0-8ba8-a37596547fec.jpg,66ed16a0d47f5a360fbc024c,654a0bf554ad399eece56ec6,67ef864d7c4a2553486414ae,"[""15cm""]",5,2025-04-04 7:12:13,1.0
"""Lina sprang 1 mil, 2 km och 300 m. Kalle sprang 10 km och 700 m. \n\nHur många meter längre sprang Lina än Kalle?""",images/9f7cc2f2-85dd-499a-9787-5ad2b4dc8371.png,"{""total"":16,""line"":1,""element"":15}","""1120001700=10300""","[""1600""]",0.0,30ccd120-0f8d-11f0-8ba8-a37596547fec.jpg,6758245d29a46e3d3b873a6c,655740ee6d1334f8c123b6fc,67ecdb916461f1412ae7732b,"[""1600m""]",16,2025-04-02 6:39:13,0.0
"""Beräkna.\n\n${\\Large\\frac{184}{4}}=$""",,"{""total"":7,""element"":6,""line"":1}","""1844\n46""","[""46""]",0.0,14e26340-412d-11f0-a676-d3648a8c7ae3.jpg,67dd3b4ee8780a5dca966c39,657984187ff86cb33ff2cdd8,68401d297fe387cecc0c9180,"[""46""]",7,2025-06-04 10:17:13,1.0
"""Europas längsta flod Volga är $3\\ 531$ km lång. Donau är $681$ km kortare. Europas sjätte längsta flod Kama är $1\\ 045$ km kortare än Donau. \n\nUngefär hur lång är Kama? Avrunda alla inblandade tal till hundratals km.""",images/64a64d94-033b-402b-a10c-9b2436bf760e.png,"{""total"":31,""element"":27,""line"":4}","""2850105018003530-680-=2850""","[""1800""]",0.0,803b8b60-15e7-11f0-9e59-b1b6a93b681d.jpg,6705c835166c76e6ef401877,6582d54406c46fe1a7a54c47,67f78410dc922a30d6cb1601,"[""1800km""]",31,2025-04-10 8:40:49,1.0
"""Beräkna.\n \n $ 526 - 377=$""",,"{""total"":19,""element"":6,""line"":1,""free"":12}","""526377""","[""149""]",0.0,8531b950-f990-11ef-b6f5-a52423f995fe.jpg,64edae1ffa985cc75a80ddaa,604e42b238263cc3ad2f4c6a,67c7f8390c00886ea8a57520,"[""149""]",19,2025-03-05 7:07:38,1.0
"""Vad heter figuren?""",images/9670cc8e-aecd-445c-b9f3-faa6b2f36865.png,"{""total"":15,""element"":10,""free"":0,""triangleright"":0,""line"":5}","""femhörning""","[""femhörning""]",0.0,e9ec2220-0ec8-11f0-8ba8-a37596547fec.jpg,62f03a0acfa381001f8b94bf,631b2003f6dc53001326694d,67eb9245386f1ecd9b9b00c1,"[""femhörning""]",15,2025-04-01 7:14:13,1.0
"""Visa hur du löser uppgiften.\n\n$127 + 42 = $""",,"{""total"":10,""element"":9,""line"":1}","""127+42=169""","[""169""]",0.0,5daf2140-41e5-11f0-9e69-45ad0dd0d1f2.jpg,68414e9ef5a182d8ec372e89,64d3299514379d0c8cbee53f,68415256f80f7e807d292c7b,"[""169""]",10,2025-06-05 8:16:22,1.0
"""Hur stor andel av figuren är blå?""",images/b75c3eb4-b45a-401a-96c4-41c44320fd50.png,"{""total"":17,""element"":16,""line"":1}","""5\ntotalt\n2\när\nbloa\n25""","[""[2/5]""]",0.0,123073f0-3a2d-11f0-85a3-cf5656569bb4.jpg,651e961bdf6682e928eae625,646cbb57e2cbc400134fd4c1,68345eaa535f115dcf873e18,"[""[2/5]""]",17,2025-05-26 12:29:30,1.0
"""Mildred drar ett kort ur en vanlig kortlek. Hon stoppar tillbaka kortet, blandar leken och drar sen ett kort till. Hur stor är sannolikheten att det första kortet är en spader och det andra högre än $10$? Svara i bråkform.""",,"{""total"":6,""element"":4,""line"":2}","""I[H]""","[""[1/[13]]""]",0.0,d6015bb0-2ca3-11f0-96f6-b7931f7e29f7.jpg,63034100647c3c001f604b0b,635b8d20d7a6e40013e9aa78,681da8f7b2e37ea21395bf3a,"[""[1/[13]]""]",6,2025-05-09 7:04:23,0.0
"""Alma, Jennica och Tove har beställt och ätit pizza.\n\nAlma åt $\\large\\frac{3}{4}$ av sin pizza.  \n\nJennica åt  $\\large\\frac{2}{3}$ av sin pizza.\n\nTove åt  $\\large\\frac{5}{6}$ av sin pizza.\n\nHur mycket pizza har de ätit tillsammans?""",,"{""total"":9,""element"":1,""circle"":4,""numberline"":0,""free"":4}","""iwy""","[""[9/4]""]",0.0,331b24a0-274c-11f0-8d90-013959374699.jpg,66ba96929e03ed84087be79a,65cea120048f6263f5d111e7,6814b2736b29ebf253c69db7,"[""[9/4]""]",9,2025-05-02 11:54:28,0.0
"""Vad är medianen av följande data?\n\n$\\quad 9, 5, 3, 14, 13, 20$""",,"{""total"":21,""element"":14,""free"":4,""line"":3}","""3,5,9,13,14,20\n11med""","[""11""]",0.0,afa51d70-373a-11f0-8bfa-e7e6b2a58150.jpg,66b17e102302399c42e095e2,669e2d756b7cc91c48726600,682f6d045895a9bcdcd035b6,"[""11""]",21,2025-05-22 18:29:25,1.0
"""Lös följande uppgift. Visa hur du räknar.\n\n$ 132 + 26$""",,"{""total"":11,""element"":10,""line"":1}","""132+26==158""","[""158""]",0.0,99a69090-138a-11f0-a0ea-2fb6c97dd099.jpg,63c0056052df85001fcdaaaf,602be76f70af089ad35ca2ef,67f38d35c653cb31d12c9825,"[""158""]",11,2025-04-07 8:30:46,1.0
"""Tre barn har köpt var sin lika stor pizza. de jämför hur mycket de har kvar av sina pizzor.\n\nVilket bild passar ihop med påståendet.\n\nMia har kvar en tredjedel av sin pizza.""",images/59348674-abde-4393-9e9e-fb063b8808e5.png,"{""total"":2,""circledfraction"":1,""element"":1}","""""","[""D""]",0.0,25d18ab0-13a0-11f0-978d-eb1105047f20.jpg,6401add35971ff001fe3b7e7,67d2b3bbfc00754d76d64c7d,67f3b15c6e4d3bb7cdaeef1a,"[""D""]",2,2025-04-07 11:05:00,0.0
"""Pengarna ska delas lika mellan $10$ personer.\n\n Hur mycket får var och en?""",images/6a79fc56-1e93-46bc-9588-de7298d06226.png,"{""total"":36,""element"":20,""line"":1,""free"":15}","""1000x5=5000\n500010\n500""","[""500""]",0.0,190adce0-0fcd-11f0-aaa0-4198448e290f.jpg,62f368488b44c7001feedc17,63178c6e47e61c0013a5d408,67ed46c9ad072c601f71b953,"[""500kr""]",36,2025-04-02 14:16:41,1.0
"""Hur många gånger större är talet som är dubbelt så stort som 54,6 jämfört med det talet som är hälften så stort som 54,6?""",,"{""total"":21,""equation"":0,""circle"":1,""element"":20}","""54,6·__2109,2154,6=27,3=2""","[""4""]",0.0,e02d2cb0-8ee4-11f0-985e-47e05d7dad11.jpg,66ba2d1c2b1c87684210cf6f,6581bf49a5585b5137757fe5,68c280c3fd43bdf4f0b9c6dc,"[""4""]",21,2025-09-11 7:56:51,1.0
"""Beräkna.\n\n$53{,}4+28{,}8=$""",,"{""total"":28,""element"":22,""line"":6}","""53,4+28,8\n1153,4+28,8=82,2\n82,2""","[""82,2""]",0.0,e469be50-1087-11f0-8ba8-a37596547fec.jpg,67a474bfb28f082df7913cf4,65798440e5ccf9d9920c4523,67ee802c46ad32ab7e2fbfe4,"[""82,2""]",28,2025-04-03 12:33:49,1.0
